Multiplier Combination,Number of Balls,Hidden Multiplier,Individual Catch Rate,Cumulative Catch Rate,Odds to Not Catch
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",1,0.02,0.02,0.020000000000000018,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",2,0.02,0.02,0.03960000000000008,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",3,0.02,0.02,0.05880800000000008,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",4,0.02,0.02,0.07763184000000012,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",5,0.02,0.02,0.09607920320000018,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",6,0.02,0.02,0.1141576191360002,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",7,0.02,0.02,0.13187446675328018,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",8,0.02,0.02,0.14923697741821462,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",9,0.02,0.02,0.16625223786985033,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",10,0.02,0.02,0.1829271931124533,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",11,0.02,0.02,0.19926864925020427,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",12,0.02,0.02,0.21528327626520016,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",13,0.02,0.02,0.2309776107398962,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",14,0.02,0.02,0.2463580585250983,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",15,0.02,0.02,0.26143089735459635,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",16,0.02,0.02,0.2762022794075044,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",17,0.02,0.02,0.2906782338193543,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",18,0.02,0.02,0.3048646691429673,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",19,0.02,0.02,0.31876737576010794,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1",20,0.02,0.02,0.33239202824490577,0.98
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",1,0.02,0.03,0.030000000000000027,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",2,0.02,0.03,0.05910000000000004,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",3,0.02,0.03,0.08732700000000004,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",4,0.02,0.03,0.11470719000000007,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",5,0.02,0.03,0.1412659743000001,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",6,0.02,0.03,0.16702799507100008,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",7,0.02,0.03,0.19201715521887008,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",8,0.02,0.03,0.21625664056230398,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",9,0.02,0.03,0.23976894134543492,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",10,0.02,0.03,0.2625758731050719,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",11,0.02,0.03,0.2846985969119198,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",12,0.02,0.03,0.30615763900456217,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",13,0.02,0.03,0.3269729098344253,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",14,0.02,0.03,0.34716372253939254,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",15,0.02,0.03,0.36674881086321076,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",16,0.02,0.03,0.38574634653731443,0.97
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=1.5",17,0.02,0.03,0.404173956141195,0.97
